threshold,n_HC,n_SZ,mean_HC,mean_SZ,sem_HC,sem_SZ,d_SZ_minus_HC,p_perm_two_sided,seed,n_perm
1.5,17,18,492.5882352941176,1534.0555555555557,143.8066783103052,365.68083580446904,0.8769405144220338,0.012598740125987402,0,10000
2.0,17,18,225.58823529411765,594.5,67.74047897195207,133.6148804381825,0.8180525004298853,0.021097890210978902,0,10000
3.0,17,18,32.94117647058823,58.5,11.900157743713295,12.721565756388546,0.49482799029701846,0.15558444155584442,0,10000
